farmer_id,missed_by_week_5,missed_by_week_10,missed_by_week_15,missed_by_week_20
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,1,1,1,1
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,3,8,13
172,0,0,2,2
173,0,0,0,0
174,0,1,1,1
175,0,0,0,0
176,0,0,0,0
177,5,8,8,8
178,0,0,0,0
179,0,0,0,0
180,0,0,0,0
181,0,0,0,0
182,5,7,7,10
183,0,0,0,0
184,0,0,0,2
185,1,2,6,11
186,0,0,0,0
187,1,1,1,1
188,5,9,9,9
189,0,0,0,0
190,5,6,6,6
191,0,0,0,0
192,0,0,0,0
193,0,0,0,1
194,2,2,2,2
195,4,5,5,5
196,1,1,1,1
197,1,1,1,1
198,5,10,10,10
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,2,2,2,2
203,1,1,1,1
204,0,0,0,0
205,0,0,0,0
206,0,0,0,0
207,3,3,3,3
208,3,3,3,3
209,0,0,0,0
210,0,0,0,0
211,2,2,3,3
212,4,8,8,8
213,3,3,3,3
214,0,0,0,0
215,5,10,15,18
216,1,1,1,1
217,2,2,2,2
218,0,1,1,1
219,0,0,0,0
220,0,0,0,0
221,1,2,2,2
222,5,10,15,20
223,0,0,0,0
224,0,0,0,0
225,0,1,3,3
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,1,1,1,1
232,1,1,1,1
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,0,1,1,1
237,4,4,4,4
238,0,0,0,0
239,0,0,0,0
240,1,1,1,1
241,0,0,0,0
242,0,0,0,0
243,4,8,8,8
244,2,7,11,11
245,0,0,0,0
246,0,0,0,0
247,1,2,4,4
248,1,1,1,1
249,3,3,3,3
250,0,0,0,0
251,1,1,1,1
252,0,0,0,0
253,0,0,0,0
254,2,2,4,9
255,0,0,0,0
256,2,2,2,2
257,0,1,3,8
258,0,0,0,0
259,5,10,11,11
260,5,9,9,14
261,0,0,0,0
262,1,2,3,3
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,3,3,3
270,4,4,4,4
271,0,0,0,0
272,0,0,0,0
273,0,0,0,0
274,5,10,15,20
276,5,7,7,7
277,5,7,7,7
278,0,0,0,0
279,5,10,10,10
280,0,0,0,0
281,0,0,0,0
282,1,2,2,2
283,3,5,5,5
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,2,2,2,2
292,5,5,5,5
293,0,0,0,0
294,0,0,0,0
295,2,5,5,5
296,3,4,5,5
297,3,3,7,12
298,3,3,3,3
299,5,10,15,20
300,2,2,2,2
301,0,0,0,0
302,1,3,3,3
303,1,1,1,1
304,1,1,1,1
305,0,0,0,0
306,2,2,3,3
307,4,4,4,4
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,2,3,3
312,0,0,0,0
313,0,0,0,0
314,2,2,2,2
315,0,0,0,0
316,1,1,1,1
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,1,4
323,1,1,1,1
324,1,1,1,1
325,1,1,1,1
326,2,2,2,2
327,0,0,0,0
328,0,0,0,1
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,0,1,1,3
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,1,1,1,1
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,1
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
347,1,1,1,1
348,1,1,1,1
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,3
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,2,2,2,2
360,0,0,0,0
361,0,0,0,0
362,0,0,0,0
363,2,2,3,3
364,0,0,0,0
365,0,0,0,0
366,1,1,1,1
367,0,0,0,0
368,5,9,10,15
369,0,0,0,0
370,1,3,3,3
371,1,1,1,1
372,0,0,0,0
373,1,1,1,1
374,5,6,6,6
375,0,0,0,0
376,1,1,1,1
377,0,0,0,0
378,4,5,5,5
379,2,2,2,2
380,3,3,3,3
381,2,2,2,4
382,4,7,10,13
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,0,0,0
388,0,0,0,0
389,2,2,2,2
390,0,0,0,0
391,0,1,2,4
392,0,0,0,0
393,0,0,1,4
394,4,4,4,4
395,0,0,0,0
396,1,1,1,1
397,2,2,2,2
398,0,0,0,0
399,0,0,0,0
400,3,3,3,3
401,2,7,9,9
402,2,7,7,7
403,4,7,11,13
404,2,2,2,2
405,0,0,1,1
406,0,0,0,0
407,4,4,4,4
408,5,8,8,8
409,0,0,0,0
410,2,6,9,9
411,0,0,0,0
412,1,1,1,1
413,0,0,0,0
414,3,3,4,8
415,2,2,2,2
416,5,6,6,6
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,5,9,9,9
426,0,0,0,0
427,0,0,0,0
428,4,4,4,4
429,1,1,2,3
430,3,8,10,10
431,3,3,3,3
432,0,0,0,0
433,0,0,0,0
434,0,0,0,0
435,2,2,2,2
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,1,1,1,1
441,1,1,1,1
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,1,1,1,1
446,0,0,0,0
447,1,4,4,4
448,0,0,0,0
449,4,6,6,6
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,0,0,0
454,5,5,5,5
455,0,0,0,0
456,2,2,2,2
457,1,1,1,1
458,0,0,0,0
459,2,2,2,2
460,1,1,1,1
461,1,6,11,16
462,0,5,7,7
463,5,10,11,11
464,0,0,0,0
465,0,0,0,0
466,4,4,4,4
467,1,3,4,4
468,1,5,5,5
469,0,0,0,0
470,1,3,3,4
471,5,7,7,7
472,0,0,0,0
473,0,0,0,0
474,0,0,0,0
475,1,1,1,1
476,0,0,0,0
477,1,1,1,1
478,0,0,0,0
479,0,0,0,0
480,0,2,2,2
481,4,6,6,6
482,1,1,1,1
483,0,0,0,0
484,0,0,0,0
485,1,1,3,3
486,0,0,0,0
487,3,5,10,14
488,5,6,11,16
489,0,0,0,0
490,1,1,3,5
491,0,0,0,0
492,2,2,2,2
493,0,0,0,0
494,2,2,5,8
495,5,10,13,15
496,0,0,0,0
497,3,3,3,3
498,0,0,4,5
499,0,0,0,0
500,5,9,9,9
501,0,2,2,2
502,0,0,0,0
503,1,1,1,1
504,4,4,4,4
505,0,0,0,0
506,0,1,1,4
507,0,0,0,0
508,5,8,8,8
509,0,0,0,0
510,0,0,2,3
511,1,2,2,2
512,3,3,3,3
513,2,3,3,3
514,0,0,0,0
515,2,5,10,15
516,0,0,0,2
517,4,5,5,5
518,2,2,2,2
519,0,0,0,0
520,0,0,0,1
521,0,0,0,0
522,0,0,0,0
523,4,4,4,4
524,1,1,1,1
525,0,0,0,0
526,0,2,2,2
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,5,10,12,12
531,0,0,0,0
532,0,0,0,0
533,2,2,3,3
534,0,0,0,0
535,3,3,4,4
536,5,7,7,7
537,0,0,0,0
538,0,0,0,0
539,0,0,0,0
540,0,0,0,0
541,0,0,0,0
542,0,0,0,0
544,0,0,0,0
545,0,0,0,0
546,0,0,0,0
547,0,0,0,0
548,0,0,0,0
549,0,0,0,0
550,5,10,12,12
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0
554,0,0,0,0
555,0,0,0,0
556,0,0,0,0
557,1,1,1,1
558,0,0,4,6
559,1,1,1,1
560,0,0,0,0
561,0,0,0,0
562,0,0,0,0
563,0,0,0,0
564,0,0,0,0
565,0,0,0,0
566,0,0,0,0
567,0,0,0,0
568,5,10,15,20
569,1,1,3,8
570,5,10,11,11
571,0,0,0,0
572,4,8,11,11
573,0,0,0,0
574,0,3,4,4
575,1,1,1,1
576,1,3,3,3
577,2,2,2,2
578,0,0,0,0
579,1,1,1,1
580,1,1,1,1
581,3,6,10,13
582,2,2,2,2
583,0,0,0,0
584,0,0,0,0
585,0,0,0,0
586,2,2,2,2
587,1,1,1,2
588,3,3,3,3
589,5,5,5,5
590,1,1,1,1
591,0,1,1,1
592,0,0,0,0
593,5,5,5,5
594,1,1,1,1
595,0,1,1,1
596,0,0,0,0
597,0,0,0,0
598,1,1,1,1
599,0,0,0,0
600,0,0,0,0
601,1,1,1,1
602,0,0,0,0
603,5,8,8,8
604,3,3,3,3
605,0,0,0,0
606,0,0,0,0
607,0,0,0,0
608,0,0,0,0
609,1,3,3,3
610,4,5,5,6
611,1,1,1,1
612,0,0,0,0
613,3,4,7,8
614,4,9,14,17
615,0,0,0,0
616,0,0,0,0
617,4,6,6,6
618,1,1,1,1
619,5,8,8,8
620,5,8,11,16
621,0,0,0,0
622,3,5,7,7
623,0,0,0,0
624,2,3,3,3
625,2,2,3,3
626,0,0,0,0
627,0,0,0,0
628,0,0,0,0
629,0,0,0,0
630,0,3,3,3
631,5,10,15,20
632,2,2,2,2
633,3,3,3,3
634,3,5,5,5
635,0,0,0,0
636,0,0,0,0
637,0,0,0,0
638,3,3,3,3
639,0,0,0,0
640,5,9,10,10
641,0,0,3,3
642,0,0,0,0
643,2,2,2,2
644,0,0,3,8
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0,0,3,7
649,0,0,0,0
650,2,2,2,2
651,0,0,0,0
652,0,0,1,1
653,5,5,5,5
654,0,0,0,0
655,1,1,1,1
656,0,0,0,0
657,2,2,2,4
658,4,4,4,4
659,0,0,0,0
660,0,0,0,0
661,3,3,3,3
662,3,3,4,4
663,0,0,0,0
664,5,8,12,13
665,3,3,3,3
666,0,0,0,0
667,3,3,4,4
668,3,3,4,4
669,2,2,2,2
670,5,10,15,20
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,1,1,1,1
678,0,0,0,0
679,5,10,15,15
680,0,0,0,0
681,3,8,13,17
682,1,1,1,1
683,5,10,12,12
684,0,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,1,4,4,4
689,0,0,0,0
690,0,0,0,0
691,2,2,2,2
692,0,0,1,1
693,0,0,0,0
694,2,2,2,2
695,0,0,0,0
696,0,0,0,0
697,1,1,1,1
698,0,0,0,0
699,0,0,0,0
700,1,1,1,1
701,0,0,0,0
702,0,0,0,0
703,2,2,2,2
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
709,0,0,0,0
710,3,3,3,3
711,1,1,4,4
712,0,0,0,0
713,0,0,0,0
714,2,2,2,2
715,1,1,2,2
716,0,0,0,0
717,3,5,7,7
718,0,0,0,0
719,0,0,0,0
720,0,0,0,0
721,0,0,0,0
722,5,5,5,5
723,0,0,0,0
724,5,6,6,6
725,4,6,7,7
726,0,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,0,0,0,0
731,1,1,1,1
732,0,0,0,0
733,3,3,3,4
734,0,0,0,0
735,2,2,2,2
736,4,8,8,8
737,5,7,7,7
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,4,4,4,4
742,0,0,0,0
743,0,0,0,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,5,5,5,5
748,5,5,5,5
749,0,0,0,0
750,0,0,1,1
751,0,0,0,2
752,0,1,3,4
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,1,1,1,1
757,3,7,7,7
758,1,1,1,1
759,4,4,4,4
760,0,0,0,0
761,1,1,1,1
762,4,4,4,4
763,0,1,2,2
764,5,9,10,10
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,1,1,1,1
769,0,0,0,0
770,1,1,1,1
771,0,0,0,0
772,0,0,0,0
773,0,0,4,8
774,0,0,0,0
775,3,3,3,3
776,4,6,6,6
777,4,5,5,5
778,0,0,0,0
779,0,0,0,0
780,0,0,0,1
781,4,8,11,11
782,3,3,3,3
783,0,0,0,0
784,0,0,0,0
785,2,3,3,7
786,0,0,0,0
787,5,6,6,6
788,0,0,0,0
789,0,0,0,0
790,0,0,0,0
791,0,1,1,1
792,0,0,0,0
793,0,0,0,0
794,0,0,0,0
795,5,10,11,11
796,0,0,0,0
797,0,0,0,0
798,0,0,0,0
799,0,0,0,0
800,0,0,0,0
801,0,0,0,0
802,5,5,5,5
803,0,0,0,0
804,0,0,1,5
805,0,0,0,0
806,0,0,0,0
807,0,0,0,0
808,0,0,0,0
809,0,1,3,3
810,0,0,0,0
811,0,0,0,0
812,5,6,6,6
813,5,10,13,13
814,1,1,1,1
815,0,0,0,0
816,0,0,0,0
817,4,4,4,4
818,0,0,0,0
819,0,0,0,0
820,5,6,6,6
821,0,0,0,0
822,5,10,15,16
823,0,0,0,0
824,0,0,0,0
825,1,1,1,1
826,0,0,0,0
827,0,0,0,0
828,3,5,7,7
829,0,0,0,0
830,3,3,3,4
831,0,0,0,0
832,0,0,0,0
833,1,2,2,2
834,5,6,6,6
835,1,1,1,1
836,0,0,0,0
837,1,1,1,1
838,0,0,0,0
839,0,0,0,0
840,0,0,0,0
841,5,6,6,6
842,4,9,9,9
843,0,0,0,0
844,1,1,1,1
845,5,8,8,8
846,5,10,12,12
847,2,2,2,2
848,3,3,3,3
849,2,2,2,2
850,5,8,8,8
851,1,1,1,1
852,0,0,0,0
853,0,0,0,0
854,3,3,3,3
855,0,0,0,0
856,1,1,1,1
857,0,0,0,3
858,0,0,0,0
859,3,3,3,3
860,0,0,0,0
861,1,1,1,1
862,2,2,2,2
863,0,0,0,0
864,5,5,5,5
865,5,6,6,6
866,0,1,1,1
867,3,5,5,5
868,1,1,1,1
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,2,2,2
874,0,0,0,0
875,5,10,15,20
876,5,9,14,19
877,5,8,13,13
878,0,0,0,0
879,0,0,0,0
880,3,4,4,4
881,0,0,0,0
882,0,0,0,0
883,0,0,0,0
884,0,0,0,0
885,0,0,0,0
886,4,9,14,15
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,0,0,0,0
891,1,1,1,1
892,0,0,2,6
893,0,0,0,0
894,0,0,0,0
895,0,0,0,0
896,2,2,2,2
897,1,1,1,1
898,4,6,8,8
899,0,0,0,0
900,0,0,0,0
901,0,0,0,0
902,1,2,2,2
903,0,0,0,0
904,1,2,2,2
905,0,0,0,4
906,0,0,0,0
907,5,10,14,14
908,0,0,0,0
909,0,0,0,0
910,2,7,12,14
911,0,0,0,0
912,0,0,0,0
914,0,0,0,0
915,3,3,3,3
916,5,7,10,10
917,0,0,0,0
918,0,0,0,0
919,5,8,8,8
920,0,0,0,0
921,1,1,1,1
922,5,8,8,8
923,0,0,0,0
924,4,4,4,4
925,1,1,1,1
926,0,0,0,0
927,1,6,7,7
928,0,0,0,5
929,0,0,0,0
931,3,3,3,3
932,0,0,0,0
933,3,4,4,6
934,1,1,1,1
935,0,0,0,0
936,4,4,4,4
937,0,0,0,0
938,0,0,0,0
939,5,10,11,11
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,3,3,3,3
944,0,1,1,1
945,3,5,5,5
946,1,1,1,1
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,0,0,0,0
951,0,0,0,0
952,0,0,0,0
953,0,0,0,0
954,0,0,0,0
955,0,0,0,0
956,0,0,0,0
957,1,2,2,2
958,0,0,0,0
959,0,0,0,0
960,0,0,0,0
961,0,0,0,0
962,0,0,0,0
963,0,2,2,2
965,0,0,0,0
966,0,0,0,0
967,0,0,0,0
968,0,0,0,0
969,0,0,0,0
970,0,0,0,0
971,0,0,0,0
972,5,9,14,19
973,0,0,0,0
974,0,0,0,0
975,0,0,0,0
976,0,0,0,0
977,4,5,5,5
978,2,5,5,5
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,0,0,0,0
983,0,0,1,1
984,0,0,0,0
985,0,0,0,2
986,0,0,0,0
987,4,4,4,4
988,1,1,1,1
989,0,0,0,0
990,0,0,0,0
991,5,7,7,7
992,0,0,0,0
993,0,0,0,0
994,4,7,10,13
995,2,2,2,2
996,0,0,0,0
997,0,0,0,0
998,0,0,2,2
999,0,0,0,0
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,5,10,11,11
1004,0,0,0,0
1005,3,3,3,3
1007,0,0,0,0
1008,0,0,2,5
1009,0,0,0,0
1010,0,0,0,0
1011,0,0,0,0
1012,5,10,15,20
1013,0,0,0,0
1014,0,0,0,0
1015,0,0,0,0
1016,1,1,1,1
1017,0,0,0,0
1018,3,3,3,3
1019,1,1,1,1
1020,0,1,3,3
1021,5,10,12,14
1022,0,0,0,0
1023,3,8,13,15
1024,5,9,9,9
1025,5,8,8,8
1026,2,7,12,17
1027,3,7,12,17
1028,0,0,2,2
1029,0,0,0,0
1030,2,5,5,5
1031,0,0,0,0
1032,2,3,3,4
1033,0,0,0,0
1034,5,5,5,5
1035,5,8,10,10
1036,0,0,0,0
1037,5,10,10,10
1038,1,4,9,14
1039,0,0,0,0
1040,2,5,7,7
1041,0,0,0,2
1042,0,0,0,0
1043,4,5,10,15
1044,1,1,2,2
1045,1,2,7,12
1046,4,5,5,5
1047,0,0,0,0
1048,5,8,8,11
1049,2,2,2,2
1050,3,7,7,7
1051,0,0,0,0
1052,0,0,0,3
1053,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1056,0,0,0,0
1057,0,0,0,0
1058,0,0,0,0
1059,0,0,0,0
1060,0,0,0,0
1061,1,1,1,1
1062,0,0,0,0
1063,5,5,5,5
1064,4,4,4,6
1065,3,3,3,3
1066,0,0,0,0
1067,0,0,0,0
1068,0,0,0,0
1069,5,6,6,6
1070,0,0,0,1
1071,0,0,1,4
1072,0,0,0,0
1073,0,0,0,0
1074,5,10,12,12
1075,0,0,0,0
1076,0,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1079,5,10,15,20
1080,1,1,1,1
1081,0,0,0,0
1082,0,0,0,0
1083,0,0,0,0
1084,3,3,3,3
1085,5,9,9,9
1086,0,0,0,0
1087,0,0,0,0
1088,3,3,3,3
1089,0,0,0,0
1090,0,0,0,0
1091,0,1,1,1
1092,1,1,1,1
1093,0,0,0,0
1094,0,0,0,0
1095,0,0,0,0
1096,5,10,15,17
1097,2,4,4,4
1098,0,0,0,0
1099,0,0,0,0
1100,0,0,0,0
1101,5,8,13,18
1102,0,0,0,0
1103,1,1,1,1
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,4
1107,0,0,0,0
1108,0,0,2,3
1109,0,0,0,0
1110,5,10,11,12
1111,5,10,10,10
1112,1,2,4,4
1113,0,0,0,0
1114,0,0,0,0
1115,0,0,0,0
1116,0,0,0,0
1117,0,0,0,0
1118,5,5,5,5
1119,0,0,0,0
1120,0,0,0,0
1121,0,0,0,0
1122,5,6,7,7
1123,0,0,0,0
1124,0,0,0,0
1125,5,6,6,6
1126,0,0,0,0
1127,4,4,4,4
1128,1,1,1,1
1129,5,6,6,6
1130,0,0,0,0
1132,2,6,6,6
1133,0,0,0,0
1134,1,1,1,1
1135,0,0,0,0
1136,0,0,1,5
1137,1,1,1,1
1138,0,2,6,6
1139,0,0,0,0
1140,4,8,8,8
1141,0,0,0,0
1142,0,0,0,0
1143,0,0,0,0
1144,0,0,0,0
1145,0,0,0,0
1146,4,4,4,6
1147,0,0,0,0
1148,0,0,0,0
1149,2,2,4,7
1150,0,0,0,0
1151,0,0,0,3
1152,0,0,0,0
1153,0,0,0,0
1154,1,1,1,1
1155,0,0,0,0
1156,0,0,0,0
1157,5,10,15,18
1158,0,0,0,0
1159,0,0,0,0
1160,0,0,0,0
1161,0,0,0,0
1162,1,1,4,4
1163,1,1,1,1
1164,0,0,0,0
1165,3,3,3,3
1166,0,0,0,0
1167,0,0,0,0
1168,0,0,1,2
1169,1,1,1,1
1170,5,5,6,11
1171,0,0,0,0
1172,1,1,1,3
1173,2,2,2,2
1174,5,6,7,7
1175,0,0,1,1
1176,0,0,0,0
1177,0,0,0,0
1178,3,3,3,3
1179,0,0,0,0
1180,0,0,0,0
1181,4,6,8,8
1182,0,0,0,0
1183,0,2,2,3
1184,0,0,0,0
1185,0,0,0,0
1186,0,0,0,0
1187,0,0,0,0
1188,0,0,2,5
1189,0,0,0,0
1190,4,4,4,4
1191,1,4,5,5
1192,0,0,0,0
1193,0,2,6,11
1194,0,0,0,0
1195,5,8,8,8
1196,0,0,0,0
1197,0,0,0,0
1198,3,4,4,4
1199,0,0,0,0
1200,0,0,0,0
1201,0,0,0,4
1202,2,2,2,2
1203,0,0,0,0
1204,0,0,0,0
1205,5,10,13,18
1206,1,1,3,5
1207,0,3,4,4
1208,1,1,1,1
1209,0,0,0,0
1210,5,6,6,6
1211,5,9,9,9
1212,0,0,0,0
1213,0,0,0,0
1214,5,6,6,6
1215,5,10,13,13
1216,0,0,0,0
1217,1,1,1,1
1218,0,0,0,0
1219,4,5,5,5
1220,5,8,8,8
1221,5,10,11,11
1222,5,7,7,7
1223,0,0,0,0
1224,5,9,9,9
1225,0,0,0,0
1226,0,0,0,0
1227,2,5,10,11
1228,1,2,2,2
1229,5,8,10,10
1230,0,0,0,3
1231,0,0,0,0
1232,4,9,9,9
1233,1,1,1,1
1234,5,10,15,18
1235,0,0,0,0
1236,2,2,2,2
1237,3,8,10,10
1238,1,1,1,1
1239,5,8,11,11
1240,1,1,1,1
1241,0,0,0,0
1242,3,5,5,5
1243,0,0,0,0
1244,3,3,3,3
1245,0,0,0,0
1246,5,10,14,14
1247,0,0,0,0
1248,1,3,3,3
1249,0,0,0,0
1250,5,10,13,13
1251,0,0,0,0
1252,0,0,0,0
1253,1,1,1,1
1255,1,2,2,2
1256,0,0,0,0
1257,2,2,2,2
1258,3,5,5,6
1259,0,0,0,0
1260,4,4,4,4
1261,5,5,5,5
1262,1,1,1,1
1263,0,0,0,0
1264,4,4,5,5
1265,5,8,8,8
1266,0,0,0,0
1267,5,9,9,10
1268,1,1,1,1
1269,0,0,0,0
1270,4,9,12,16
1271,2,4,4,4
1272,5,8,12,12
1273,5,10,11,11
1274,5,10,12,15
1275,1,2,6,7
